STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
MK130006,MYBMK1300062,MGS 6/2013 3.889% 31.07.2020,04-MAY-2020,2.327,2.312,2.297,100.37,100.374,100.377,.24,.116,-.019,-.019,-.019,-.012,-.012,-.013,4.3
MJ150003,MYBMJ1500036,MGS 3/2015 3.659% 15.10.2020,04-MAY-2020,2.324,2.309,2.294,100.59,100.597,100.604,.444,.393,-.047,-.047,-.047,.007,.007,.007,5
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,04-MAY-2020,2.318,2.303,2.288,100.864,100.876,100.887,.766,.969,-.017,-.017,-.017,.002,.002,.001,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,04-MAY-2020,2.345,2.33,2.315,102.129,102.147,102.164,1.154,1.927,-.017,-.017,-.017,.002,.002,.001,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,04-MAY-2020,2.354,2.339,2.324,102.325,102.346,102.367,1.36,2.544,-.018,-.018,-.018,.007,.007,.007,4.7
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,04-MAY-2020,2.349,2.334,2.319,101.957,101.98,102.003,1.502,3.055,-.015,-.015,-.015,.01,.009,.009,4.7
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,04-MAY-2020,2.383,2.368,2.353,102.696,102.724,102.751,1.774,4.084,-.021,-.021,-.021,.024,.024,.023,5
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,04-MAY-2020,2.406,2.391,2.376,102.233,102.267,102.3,2.176,5.921,-.025,-.025,-.025,.046,.047,.046,4
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,04-MAY-2020,2.399,2.384,2.369,103.244,103.28,103.316,2.29,6.501,-.031,-.031,-.031,.059,.059,.059,4.3
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,04-MAY-2020,2.415,2.4,2.385,102.928,102.97,103.012,2.708,8.881,-.029,-.029,-.029,.07,.07,.07,5
