STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
ML120006,MYBML1200062,MGS 6/2012 3.492% 31.03.2020,02-JAN-2020,2.688,2.682,2.676,100.189,100.19,100.191,.242,.117,-.103,-.103,-.103,.022,.021,.021,5
MK130006,MYBMK1300062,MGS 6/2013 3.889% 31.07.2020,02-JAN-2020,2.892,2.886,2.88,100.567,100.57,100.573,.561,.596,-.024,-.024,-.024,.009,.009,.008,4.7
MJ150003,MYBMJ1500036,MGS 3/2015 3.659% 15.10.2020,02-JAN-2020,2.895,2.889,2.883,100.585,100.59,100.594,.764,.965,.008,.008,.008,-.01,-.01,-.011,5
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,02-JAN-2020,3.002,2.996,2.99,100.477,100.484,100.49,1.078,1.714,-.004,-.004,-.004,.001,.002,.001,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,02-JAN-2020,3.004,2.998,2.992,101.721,101.73,101.739,1.454,2.895,.003,.003,.003,-.01,-.01,-.01,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,02-JAN-2020,3.032,3.026,3.02,101.714,101.724,101.734,1.659,3.631,.007,.007,.007,-.016,-.016,-.016,4.3
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,02-JAN-2020,3.008,3.002,2.996,101.128,101.139,101.15,1.83,4.305,.009,.009,.009,-.019,-.019,-.019,4.3
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,02-JAN-2020,3.007,3.001,2.995,101.836,101.849,101.862,2.064,5.402,.012,.012,.012,-.029,-.029,-.028,5
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,02-JAN-2020,3.051,3.045,3.039,100.916,100.931,100.946,2.46,7.466,.013,.013,.013,-.033,-.033,-.033,4.3
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,02-JAN-2020,3.081,3.075,3.069,101.862,101.878,101.894,2.569,8.089,.013,.013,.013,-.036,-.036,-.036,4
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,02-JAN-2020,3.133,3.127,3.121,101.045,101.063,101.081,2.981,10.689,.012,.012,.012,-.04,-.04,-.04,4
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,02-JAN-2020,3.147,3.141,3.135,101.892,101.911,101.93,3.064,11.257,.012,.012,.012,-.043,-.043,-.043,4.3
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,02-JAN-2020,3.167,3.161,3.155,102.149,102.17,102.191,3.325,13.235,.013,.013,.013,-.048,-.048,-.048,4.3
MI190003,MYBMI1900030,MGS 3/2019 3.478% 14.06.2024,02-JAN-2020,3.186,3.18,3.174,101.2,101.225,101.25,4.089,19.463,.012,.012,.012,-.051,-.051,-.051,5
MO140001,MYBMO1400013,MGS 1/2014 4.181% 15.07.2024,02-JAN-2020,3.214,3.208,3.202,104.05,104.075,104.101,4.045,19.501,.012,.012,.012,-.054,-.055,-.054,4.3
ML170002,MYBML1700020,MGS 2/2017 4.059% 30.09.2024,02-JAN-2020,3.218,3.212,3.206,103.668,103.694,103.721,4.26,21.364,-.001,-.001,-.001,0,0,0,4.3
MK180001,MYBMK1800012,MGS 1/2018 3.882% 14.03.2025,02-JAN-2020,3.255,3.249,3.243,102.971,103,103.029,4.637,25.223,.009,.009,.009,-.05,-.05,-.05,4
MY050003,MYBMY0500036,MGS 3/2005 4.837% 15.07.2025,02-JAN-2020,3.322,3.306,3.29,107.6,107.684,107.768,4.769,27.223,.017,.017,.017,-.098,-.098,-.098,2
MO150001,MYBMO1500010,MGS 1/2015 3.955% 15.09.2025,02-JAN-2020,3.249,3.243,3.237,103.642,103.674,103.705,5.032,29.677,.019,.019,.019,-.103,-.103,-.104,4.3
MS110003,MYBMS1100036,MGS 3/2011 4.392% 15.04.2026,02-JAN-2020,3.319,3.308,3.297,106.039,106.103,106.167,5.447,34.87,.016,.016,.016,-.096,-.097,-.097,3
ML190001,MYBML1900018,MGS 1/2019 3.906% 15.07.2026,02-JAN-2020,3.307,3.301,3.295,103.494,103.53,103.566,5.649,37.59,.011,.011,.011,-.07,-.07,-.07,5
MX060002,MYBMX0600028,MGS 2/2006 4.709% 15.09.2026,02-JAN-2020,3.326,3.305,3.284,108.244,108.375,108.506,5.697,38.492,.009,.009,.009,-.058,-.059,-.059,1.7
MO160003,MYBMO1600034,MGS 3/2016 3.900% 30.11.2026,02-JAN-2020,3.356,3.35,3.344,103.328,103.366,103.403,6.018,42.073,.005,.005,.005,-.034,-.034,-.034,4.7
MS120002,MYBMS1200026,MGS 2/2012 3.892% 15.03.2027,02-JAN-2020,3.389,3.378,3.367,103.187,103.258,103.329,6.191,44.891,-.002,.003,.008,.01,-.022,-.055,3
