FACILITY CODE,STOCK CODE,ISIN CODE,STOCK NAME,ISSUER NAME,PRINCIPLE,BOND TYPE,BOND CLASS,RATING,RATING AGENCY,ISSUE DATE,MATURITY DATE,EXPECTED MATURITY DATE,DAY COUNT BASIS,COUPON FREQUENCY,FIRST PAYMENT DATE,PREVIOUS PAYMENT DATE,PREVIOUS COUPON RATE,NEXT PAYMENT DATE,NEXT COUPON RATE,FACILITY AMOUNT/FACILITY LIMIT(MYR MIL),FACILITY OUTSTANDING AMOUNT(MYR MIL),BOND ISSUE AMOUNT(MYR MIL),BOND CURRENT OUTSTANDING AMOUNT(MYR MIL),REMAINING TENURE,ISSUER FACILITY LIMIT(MYR MIL),ISSUER OUTSTANDING AMOUNT(MYR MIL),ISLAMIC CONCEPT,SECTOR,RATING EFFECTIVE DATE,CALLABLE/PUTTABLE,CONVERTIBLE/EXCHANGABLE,RATING ACTION
199600011,MK130006,MYBMK1300062,MGS 6/2013 3.889% 31.07.2020,Government of Malaysia,CONVENTIONAL,Fixed Rate Bond,Govt,NR(LT),,31-JUL-2013,03-AUG-2020,,ACTACT,2,31-JAN-2014,31-JAN-2020,3.889,03-AUG-2020,3.889,10000000,430633,7973,7973,3M,18100000,840033,N/A,"PUBLIC FINANCE",,N,N,
199600011,MJ150003,MYBMJ1500036,MGS 3/2015 3.659% 15.10.2020,Government of Malaysia,CONVENTIONAL,Fixed Rate Bond,Govt,NR(LT),,15-APR-2015,15-OCT-2020,,ACTACT,2,15-OCT-2015,15-APR-2020,3.659,15-OCT-2020,3.659,10000000,430633,11742,11742,3M,18100000,840033,N/A,"PUBLIC FINANCE",,N,N,
199600011,MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,Government of Malaysia,CONVENTIONAL,Fixed Rate Bond,Govt,NR(LT),,15-AUG-2017,15-FEB-2021,,ACTACT,2,15-FEB-2018,17-FEB-2020,3.441,17-AUG-2020,3.441,10000000,430633,3500,3500,6M,18100000,840033,N/A,"PUBLIC FINANCE",,N,N,
199600011,MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,Government of Malaysia,CONVENTIONAL,Fixed Rate Bond,Govt,NR(LT),,14-JAN-2011,15-JUL-2021,,ACTACT,2,15-JUL-2011,15-JUL-2020,4.16,15-JAN-2021,4.16,10000000,430633,13500,13500,1Y,18100000,840033,N/A,"PUBLIC FINANCE",,N,N,
199600011,ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,Government of Malaysia,CONVENTIONAL,Fixed Rate Bond,Govt,NR(LT),,31-MAR-2014,30-SEP-2021,,ACTACT,2,30-SEP-2014,31-MAR-2020,4.048,30-SEP-2020,4.048,10000000,430633,11700,11700,2Y,18100000,840033,N/A,"PUBLIC FINANCE",,N,N,
199600011,MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,Government of Malaysia,CONVENTIONAL,Fixed Rate Bond,Govt,NR(LT),,31-MAY-2016,30-NOV-2021,,ACTACT,2,30-NOV-2016,01-JUN-2020,3.62,30-NOV-2020,3.62,10000000,430633,10000,10000,2Y,18100000,840033,N/A,"PUBLIC FINANCE",,N,N,
199600011,MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,Government of Malaysia,CONVENTIONAL,Fixed Rate Bond,Govt,NR(LT),,10-MAR-2017,10-MAR-2022,,ACTACT,2,10-SEP-2017,10-MAR-2020,3.882,10-SEP-2020,3.882,10000000,430633,11400,11400,2Y,18100000,840033,N/A,"PUBLIC FINANCE",,N,N,
199600011,MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,Government of Malaysia,CONVENTIONAL,Fixed Rate Bond,Govt,NR(LT),,14-FEB-2012,15-AUG-2022,,ACTACT,2,15-AUG-2012,17-FEB-2020,3.418,17-AUG-2020,3.418,10000000,430633,10500,10500,2Y,18100000,840033,N/A,"PUBLIC FINANCE",,N,N,
199600011,ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,Government of Malaysia,CONVENTIONAL,Fixed Rate Bond,Govt,NR(LT),,31-MAR-2015,30-SEP-2022,,ACTACT,2,30-SEP-2015,31-MAR-2020,3.795,30-SEP-2020,3.795,10000000,430633,11000,11000,3Y,18100000,840033,N/A,"PUBLIC FINANCE",,N,N,
199600011,MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,Government of Malaysia,CONVENTIONAL,Fixed Rate Bond,Govt,NR(LT),,15-MAR-2013,15-MAR-2023,,ACTACT,2,15-SEP-2013,16-MAR-2020,3.48,15-SEP-2020,3.48,10000000,430633,19420,19420,3Y,18100000,840033,N/A,"PUBLIC FINANCE",,N,N,
