STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
ML120006,MYBML1200062,MGS 6/2012 3.492% 31.03.2020,02-DEC-2019,2.911,2.906,2.901,100.183,100.185,100.186,.325,.211,-.034,-.034,-.034,.007,.007,.006,5
MK130006,MYBMK1300062,MGS 6/2013 3.889% 31.07.2020,02-DEC-2019,2.898,2.893,2.888,100.643,100.646,100.65,.644,.737,.001,.001,.001,-.009,-.009,-.009,4.3
MJ150003,MYBMJ1500036,MGS 3/2015 3.659% 15.10.2020,02-DEC-2019,2.921,2.916,2.911,100.626,100.631,100.635,.848,1.14,.002,.002,.002,-.008,-.007,-.007,5
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,02-DEC-2019,3.017,3.012,3.007,100.494,100.5,100.506,1.161,1.94,.001,.001,.001,-.005,-.005,-.005,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,02-DEC-2019,3.06,3.055,3.05,101.722,101.73,101.738,1.537,3.182,.026,.026,.026,-.05,-.05,-.05,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,02-DEC-2019,3.077,3.072,3.067,101.713,101.721,101.73,1.742,3.955,.001,.001,.001,-.008,-.009,-.009,4.3
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,02-DEC-2019,3.047,3.042,3.037,101.1,101.11,101.119,1.913,4.659,0,0,0,-.005,-.005,-.006,4.3
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,02-DEC-2019,3.04,3.035,3.03,101.831,101.842,101.853,2.147,5.794,0,0,0,-.007,-.007,-.007,5
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,02-DEC-2019,3.108,3.103,3.098,100.795,100.808,100.821,2.542,7.917,0,0,0,-.002,-.002,-.002,4.3
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,02-DEC-2019,3.112,3.107,3.102,101.831,101.845,101.859,2.652,8.562,-.003,-.003,-.003,.001,.001,.002,4
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,02-DEC-2019,3.13,3.125,3.12,101.082,101.098,101.113,3.065,11.238,0,0,0,-.002,-.001,-.002,4
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,02-DEC-2019,3.16,3.155,3.15,101.899,101.915,101.931,3.147,11.814,0,0,0,-.003,-.003,-.003,4.3
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,02-DEC-2019,3.172,3.167,3.162,102.177,102.195,102.212,3.407,13.834,0,0,0,-.004,-.003,-.004,4.3
